kelurahan,kecamatan,kabupaten,provinsi,kodepos
'HILIHAMBAWA','GUNUNGSITOLI IDANOI','GUNUNGSITOLI','SUMATERA UTARA','22825'
'HILIWETO IDANOI','GUNUNGSITOLI IDANOI','GUNUNGSITOLI','SUMATERA UTARA','22825'
'HUMENE','GUNUNGSITOLI IDANOI','GUNUNGSITOLI','SUMATERA UTARA','22825'
'IDANOTAE','GUNUNGSITOLI IDANOI','GUNUNGSITOLI','SUMATERA UTARA','22825'
'LEWUOGURU IDANOI','GUNUNGSITOLI IDANOI','GUNUNGSITOLI','SUMATERA UTARA','22825'
'OMBOLATA','GUNUNGSITOLI IDANOI','GUNUNGSITOLI','SUMATERA UTARA','22825'
'ONOWAEMBO','GUNUNGSITOLI IDANOI','GUNUNGSITOLI','SUMATERA UTARA','22825'
'SAMASI','GUNUNGSITOLI IDANOI','GUNUNGSITOLI','SUMATERA UTARA','22825'
'SIMANAERE','GUNUNGSITOLI IDANOI','GUNUNGSITOLI','SUMATERA UTARA','22825'
'TETEHOSI I','GUNUNGSITOLI IDANOI','GUNUNGSITOLI','SUMATERA UTARA','22825'
'TETEHOSI II','GUNUNGSITOLI IDANOI','GUNUNGSITOLI','SUMATERA UTARA','22825'
'TUHEGEO I','GUNUNGSITOLI IDANOI','GUNUNGSITOLI','SUMATERA UTARA','22825'
'TUHEGEO II','GUNUNGSITOLI IDANOI','GUNUNGSITOLI','SUMATERA UTARA','22825'
'FAEKHU','GUNUNGSITOLI SELATAN','GUNUNGSITOLI','SUMATERA UTARA','22823'
'FODO','GUNUNGSITOLI SELATAN','GUNUNGSITOLI','SUMATERA UTARA','22823'
'HILIGARA','GUNUNGSITOLI SELATAN','GUNUNGSITOLI','SUMATERA UTARA','22823'
'HILIGODU OMBOLATA','GUNUNGSITOLI SELATAN','GUNUNGSITOLI','SUMATERA UTARA','22823'
'LOLOFAOSO TABALOHO','GUNUNGSITOLI SELATAN','GUNUNGSITOLI','SUMATERA UTARA','22823'
'LOLOLAKHA','GUNUNGSITOLI SELATAN','GUNUNGSITOLI','SUMATERA UTARA','22823'
'LUAHA LARAGA','GUNUNGSITOLI SELATAN','GUNUNGSITOLI','SUMATERA UTARA','22823'
'MAZINGO TABALOHO','GUNUNGSITOLI SELATAN','GUNUNGSITOLI','SUMATERA UTARA','22823'
'ONONAMOLO I LOT','GUNUNGSITOLI SELATAN','GUNUNGSITOLI','SUMATERA UTARA','22823'
'ONOZITOLI TABALOHO','GUNUNGSITOLI SELATAN','GUNUNGSITOLI','SUMATERA UTARA','22823'
'GADA','GUNUNGSITOLI BARAT','GUNUNGSITOLI','SUMATERA UTARA','22822'
'HILINAKHE','GUNUNGSITOLI BARAT','GUNUNGSITOLI','SUMATERA UTARA','22822'
'ONONAMOLO II LOT','GUNUNGSITOLI BARAT','GUNUNGSITOLI','SUMATERA UTARA','22822'
'ONOZIKHO','GUNUNGSITOLI BARAT','GUNUNGSITOLI','SUMATERA UTARA','22822'
'ORAHILI TUMORI','GUNUNGSITOLI BARAT','GUNUNGSITOLI','SUMATERA UTARA','22822'
'TUMORI','GUNUNGSITOLI BARAT','GUNUNGSITOLI','SUMATERA UTARA','22822'
'TUMORI BALOHILI','GUNUNGSITOLI BARAT','GUNUNGSITOLI','SUMATERA UTARA','22822'
'BOYO','GUNUNG SITOLI','GUNUNGSITOLI','SUMATERA UTARA','22818'
'HILI HAO','GUNUNG SITOLI','GUNUNGSITOLI','SUMATERA UTARA','22818'
'HILIMBARUZO','GUNUNG SITOLI','GUNUNGSITOLI','SUMATERA UTARA','22818'
'ILIR','GUNUNG SITOLI','GUNUNGSITOLI','SUMATERA UTARA','22815'
'LASARA BAHILI','GUNUNG SITOLI','GUNUNGSITOLI','SUMATERA UTARA','22816'
'MADOLAOLI','GUNUNG SITOLI','GUNUNGSITOLI','SUMATERA UTARA','22818'
'MADULA','GUNUNG SITOLI','GUNUNGSITOLI','SUMATERA UTARA','22818'
'MIGA','GUNUNG SITOLI','GUNUNGSITOLI','SUMATERA UTARA','22818'
'MUDIK','GUNUNG SITOLI','GUNUNGSITOLI','SUMATERA UTARA','22814'
'OMBOLATA ULU','GUNUNG SITOLI','GUNUNGSITOLI','SUMATERA UTARA','22811'
'ONOZITOLI OLORA','GUNUNG SITOLI','GUNUNGSITOLI','SUMATERA UTARA','22818'
'ONOZITOLI SIFOROASI','GUNUNG SITOLI','GUNUNGSITOLI','SUMATERA UTARA','22818'
'SAEWE','GUNUNG SITOLI','GUNUNGSITOLI','SUMATERA UTARA','22818'
'SAOMBO','GUNUNG SITOLI','GUNUNGSITOLI','SUMATERA UTARA','22812'
'SIFALAETE TABALOHO','GUNUNG SITOLI','GUNUNGSITOLI','SUMATERA UTARA','22817'
'SIFALAETE ULU','GUNUNG SITOLI','GUNUNGSITOLI','SUMATERA UTARA','22817'
'SIMANDRAOLO','GUNUNG SITOLI','GUNUNGSITOLI','SUMATERA UTARA','22818'
'SISOBAHILI TABALOHO','GUNUNG SITOLI','GUNUNGSITOLI','SUMATERA UTARA','22818'
'TUHEMBERUA ULU','GUNUNG SITOLI','GUNUNGSITOLI','SUMATERA UTARA','22818'
'AFIA','GUNUNGSITOLI UTARA','GUNUNGSITOLI','SUMATERA UTARA','22821'
'HAMBAWA','GUNUNGSITOLI UTARA','GUNUNGSITOLI','SUMATERA UTARA','22821'
'HILIGODU ULU','GUNUNGSITOLI UTARA','GUNUNGSITOLI','SUMATERA UTARA','22821'
'OLORA','GUNUNGSITOLI UTARA','GUNUNGSITOLI','SUMATERA UTARA','22821'
'TETEHOSI AFIA','GUNUNGSITOLI UTARA','GUNUNGSITOLI','SUMATERA UTARA','22821'
'BULASAT','PAGAI SELATAN','KEPULAUAN MENTAWAI','SUMATERA BARAT','25782'
'MAKALO','PAGAI SELATAN','KEPULAUAN MENTAWAI','SUMATERA BARAT','25782'
'MATOBE','SIKAKAP','KEPULAUAN MENTAWAI','SUMATERA BARAT','25772'
'MATOBE','SIKAKAP','KEPULAUAN MENTAWAI','SUMATERA BARAT','25773'
'SIKAKAP','SIKAKAP','KEPULAUAN MENTAWAI','SUMATERA BARAT','25772'
'TAIKAKO','SIKAKAP','KEPULAUAN MENTAWAI','SUMATERA BARAT','25772'
'BETUMONGA','PAGAI UTARA','KEPULAUAN MENTAWAI','SUMATERA BARAT','25781'
'SILABU','PAGAI UTARA','KEPULAUAN MENTAWAI','SUMATERA BARAT','25781'
'BERIULOU','SIPORA SELATAN','KEPULAUAN MENTAWAI','SUMATERA BARAT','25773'
'BOSUA','SIPORA SELATAN','KEPULAUAN MENTAWAI','SUMATERA BARAT','25773'
'MARA','SIPORA SELATAN','KEPULAUAN MENTAWAI','SUMATERA BARAT','25773'
'MATOBE','SIPORA SELATAN','KEPULAUAN MENTAWAI','SUMATERA BARAT','25772'
'MATOBE','SIPORA SELATAN','KEPULAUAN MENTAWAI','SUMATERA BARAT','25773'
'SAUREINU','SIPORA SELATAN','KEPULAUAN MENTAWAI','SUMATERA BARAT','25773'
'SIOBAN','SIPORA SELATAN','KEPULAUAN MENTAWAI','SUMATERA BARAT','25773'
'BETUMONGA','SIPORA UTARA','KEPULAUAN MENTAWAI','SUMATERA BARAT','25771'
'BUKIT PAMEWA','SIPORA UTARA','KEPULAUAN MENTAWAI','SUMATERA BARAT','25771'
'SIPORA JAYA','SIPORA UTARA','KEPULAUAN MENTAWAI','SUMATERA BARAT','25771'
'MATOTONAN','SIBERUT SELATAN','KEPULAUAN MENTAWAI','SUMATERA BARAT','25793'
'MUNTEI','SIBERUT SELATAN','KEPULAUAN MENTAWAI','SUMATERA BARAT','25793'
'CIMPUNGAN','SIBERUT TENGAH','KEPULAUAN MENTAWAI','SUMATERA BARAT','25796'
'SALIGUMA','SIBERUT TENGAH','KEPULAUAN MENTAWAI','SUMATERA BARAT','25796'
'BOJAKAN','SIBERUT UTARA','KEPULAUAN MENTAWAI','SUMATERA BARAT','25794'
'MALANCAN','SIBERUT UTARA','KEPULAUAN MENTAWAI','SUMATERA BARAT','25794'
'SIRILOGUI','SIBERUT UTARA','KEPULAUAN MENTAWAI','SUMATERA BARAT','25794'
'SIGAPOKNA','SIBERUT BARAT','KEPULAUAN MENTAWAI','SUMATERA BARAT','25795'
'SIMALEGI','SIBERUT BARAT','KEPULAUAN MENTAWAI','SUMATERA BARAT','25795'
'SIMATALU','SIBERUT BARAT','KEPULAUAN MENTAWAI','SUMATERA BARAT','25795'
'BUNGUS BARAT','BUNGUS TELUK KABUNG','PADANG','SUMATERA BARAT','25245'
'BUNGUS SELATAN','BUNGUS TELUK KABUNG','PADANG','SUMATERA BARAT','25246'
'BUNGUS TIMUR','BUNGUS TELUK KABUNG','PADANG','SUMATERA BARAT','25244'
'TELUK KABUNG SELATAN','BUNGUS TELUK KABUNG','PADANG','SUMATERA BARAT','25243'
'TELUK KABUNG TENGAH','BUNGUS TELUK KABUNG','PADANG','SUMATERA BARAT','25242'
'TELUK KABUNG UTARA','BUNGUS TELUK KABUNG','PADANG','SUMATERA BARAT','25241'
'BANDAR BUAT','LUBUK KILANGAN','PADANG','SUMATERA BARAT','25231'
'BATU GADANG','LUBUK KILANGAN','PADANG','SUMATERA BARAT','25236'
'BERINGIN','LUBUK KILANGAN','PADANG','SUMATERA BARAT','25235'
'INDARUNG','LUBUK KILANGAN','PADANG','SUMATERA BARAT','25237'
'KOTO LALANG','LUBUK KILANGAN','PADANG','SUMATERA BARAT','25232'
'PADANG BESI','LUBUK KILANGAN','PADANG','SUMATERA BARAT','25233'
'TARANTANG','LUBUK KILANGAN','PADANG','SUMATERA BARAT','25234'
'BANUARAN NAN XX','LUBUK BEGALUNG','PADANG','SUMATERA BARAT','25222'
'BATUANG TABA NAN XX','LUBUK BEGALUNG','PADANG','SUMATERA BARAT','25223'
'CENGKEH NAN XX','LUBUK BEGALUNG','PADANG','SUMATERA BARAT','25225'
'GATES NAN XX','LUBUK BEGALUNG','PADANG','SUMATERA BARAT','25227'
'GURUN LAWEH NAN XX','LUBUK BEGALUNG','PADANG','SUMATERA BARAT','25221'
'KAMPUNG BARU NAN XX','LUBUK BEGALUNG','PADANG','SUMATERA BARAT','25225'
'KAMPUNG JUA NAN XX','LUBUK BEGALUNG','PADANG','SUMATERA BARAT','25225'
'KOTO BARU NAN XX','LUBUK BEGALUNG','PADANG','SUMATERA BARAT','25227'
'LUBUK BEGALUNG NAN XX','LUBUK BEGALUNG','PADANG','SUMATERA BARAT','25221'
'PAGAMBIRAN AMPULU NAN XX','LUBUK BEGALUNG','PADANG','SUMATERA BARAT','25226'
'PAMPANGAN NAN XX','LUBUK BEGALUNG','PADANG','SUMATERA BARAT','25227'
'PARAK LAWEH PULAU AIR NAN XX','LUBUK BEGALUNG','PADANG','SUMATERA BARAT','25223'
'TANAH SIRAH PIAI NAN XX','LUBUK BEGALUNG','PADANG','SUMATERA BARAT','25224'
'TANJUANG AUR NAN XX','LUBUK BEGALUNG','PADANG','SUMATERA BARAT','25222'
'AIR MANIS','PADANG SELATAN','PADANG','SUMATERA BARAT','25217'
'ALANG LAWEH','PADANG SELATAN','PADANG','SUMATERA BARAT','25211'
'BATANG ARAU','PADANG SELATAN','PADANG','SUMATERA BARAT','25215'
'BELAKANG PONDOK','PADANG SELATAN','PADANG','SUMATERA BARAT','25211'
'RANAH PARAK RUMBIO','PADANG SELATAN','PADANG','SUMATERA BARAT','25212'
'RAWANG','PADANG SELATAN','PADANG','SUMATERA BARAT','25216'
'SEBERANG PADANG','PADANG SELATAN','PADANG','SUMATERA BARAT','25214'
'SEBERANG PALINGGAM','PADANG SELATAN','PADANG','SUMATERA BARAT','25215'
'ANDALAS','PADANG TIMUR','PADANG','SUMATERA BARAT','25126'
'GANTING PARAK GADANG','PADANG TIMUR','PADANG','SUMATERA BARAT','25122'
'JATI','PADANG TIMUR','PADANG','SUMATERA BARAT','25128'
'JATI BARU','PADANG TIMUR','PADANG','SUMATERA BARAT','25129'
'KUBU MARAPALAM','PADANG TIMUR','PADANG','SUMATERA BARAT','25125'
'KUBU PARAK KARAKAH','PADANG TIMUR','PADANG','SUMATERA BARAT','25126'
'PARAK GADANG TIMUR','PADANG TIMUR','PADANG','SUMATERA BARAT','25123'
'SAWAHAN','PADANG TIMUR','PADANG','SUMATERA BARAT','25121'
'SAWAHAN TIMUR','PADANG TIMUR','PADANG','SUMATERA BARAT','25121'
'SIMPANG HARU','PADANG TIMUR','PADANG','SUMATERA BARAT','25127'
'BELAKANG TANGSI','PADANG BARAT','PADANG','SUMATERA BARAT','25118'
'BEROK NIPAH','PADANG BARAT','PADANG','SUMATERA BARAT','25118'
'FLAMBOYAN BARU','PADANG BARAT','PADANG','SUMATERA BARAT','25114'
'KAMPUNG JAO','PADANG BARAT','PADANG','SUMATERA BARAT','25112'
'KAMPUNG PONDOK','PADANG BARAT','PADANG','SUMATERA BARAT','25119'
'OLO','PADANG BARAT','PADANG','SUMATERA BARAT','25117'
'PADANG PASIR','PADANG BARAT','PADANG','SUMATERA BARAT','25112'
'PURUS','PADANG BARAT','PADANG','SUMATERA BARAT','25113'
'RIMBO KALUANG','PADANG BARAT','PADANG','SUMATERA BARAT','25115'
'UJUNG GURUN','PADANG BARAT','PADANG','SUMATERA BARAT','25114'
'AIR TAWAR BARAT','PADANG UTARA','PADANG','SUMATERA BARAT','25132'
'AIR TAWAR TIMUR','PADANG UTARA','PADANG','SUMATERA BARAT','25132'
'ALAI PARAK KOPI','PADANG UTARA','PADANG','SUMATERA BARAT','25139'
'GUNUNG PANGILUN','PADANG UTARA','PADANG','SUMATERA BARAT','25137'
'LOLONG BELANTI','PADANG UTARA','PADANG','SUMATERA BARAT','25136'
'ULAK KARANG SELATAN','PADANG UTARA','PADANG','SUMATERA BARAT','25134'
'ULAK KARANG UTARA','PADANG UTARA','PADANG','SUMATERA BARAT','25133'
'GURUN LAWEH','NANGGALO','PADANG','SUMATERA BARAT','25145'
'KAMPUNG LAPAI BARU','NANGGALO','PADANG','SUMATERA BARAT','25142'
'KAMPUNG OLO','NANGGALO','PADANG','SUMATERA BARAT','25143'
'KURAO PAGANG','NANGGALO','PADANG','SUMATERA BARAT','25147'
'SURAU GADANG','NANGGALO','PADANG','SUMATERA BARAT','25146'
'TABIANG BANDA GADANG','NANGGALO','PADANG','SUMATERA BARAT','25144'
'AMPANG','KURANJI','PADANG','SUMATERA BARAT','25154'
'ANDURING','KURANJI','PADANG','SUMATERA BARAT','25151'
'GUNUNG SARIK','KURANJI','PADANG','SUMATERA BARAT','25158'
'KALUMBUK','KURANJI','PADANG','SUMATERA BARAT','25155'
'KORONG GADANG','KURANJI','PADANG','SUMATERA BARAT','25156'
'KURANJI','KURANJI','PADANG','SUMATERA BARAT','25157'
'LUBUK LINTAH','KURANJI','PADANG','SUMATERA BARAT','25153'
'PASAR AMBACANG','KURANJI','PADANG','SUMATERA BARAT','25152'
'SUNGAI SAPIH','KURANJI','PADANG','SUMATERA BARAT','25159'
'BINUANG KAMPUNG DALAM','PAUH','PADANG','SUMATERA BARAT','25161'
'CUPAK TANGAH','PAUH','PADANG','SUMATERA BARAT','25162'
'KAPALA KOTO','PAUH','PADANG','SUMATERA BARAT','25163'
'KOTO LUAR','PAUH','PADANG','SUMATERA BARAT','25164'
'LAMBUNG BUKIT','PAUH','PADANG','SUMATERA BARAT','25168'
'LIMAU MANIS','PAUH','PADANG','SUMATERA BARAT','25166'
'LIMAU MANIS SELATAN','PAUH','PADANG','SUMATERA BARAT','25163'
'PIAI TANGAH','PAUH','PADANG','SUMATERA BARAT','25162'
'PISANG','PAUH','PADANG','SUMATERA BARAT','25161'
'AIR PACAH','KOTO TANGAH','PADANG','SUMATERA BARAT','25176'
'BALAI GADANG','KOTO TANGAH','PADANG','SUMATERA BARAT','25174'
'BATANG KABUNG','KOTO TANGAH','PADANG','SUMATERA BARAT','25172'
'BATIPUH PANJANG','KOTO TANGAH','PADANG','SUMATERA BARAT','25173'
'BUNGO PASANG','KOTO TANGAH','PADANG','SUMATERA BARAT','25171'
'KOTO PANJANG IKUA KOTO','KOTO TANGAH','PADANG','SUMATERA BARAT','25175'
'KOTO PULAI','KOTO TANGAH','PADANG','SUMATERA BARAT','25172'
'LUBUK BUAYA','KOTO TANGAH','PADANG','SUMATERA BARAT','25173'
'LUBUK MINTURUN','KOTO TANGAH','PADANG','SUMATERA BARAT','25175'
'PADANG SARAI','KOTO TANGAH','PADANG','SUMATERA BARAT','25173'
'PARUPUK TABING','KOTO TANGAH','PADANG','SUMATERA BARAT','25171'
'PASIR NAN TIGO','KOTO TANGAH','PADANG','SUMATERA BARAT','25172'
'ARO IV KORONG','LUBUK SIKARAH','SOLOK','SUMATERA BARAT','27317'
'IX KORONG','LUBUK SIKARAH','SOLOK','SUMATERA BARAT','27314'
'KAMPAI TABU KERAMBIL','LUBUK SIKARAH','SOLOK','SUMATERA BARAT','27315'
'SIMPANG RUMBIO','LUBUK SIKARAH','SOLOK','SUMATERA BARAT','27316'
'SINAPA PILIANG','LUBUK SIKARAH','SOLOK','SUMATERA BARAT','27313'
'TANAH GARAM','LUBUK SIKARAH','SOLOK','SUMATERA BARAT','27312'
'VI SUKU','LUBUK SIKARAH','SOLOK','SUMATERA BARAT','27311'
'KAMPUNG JAWA','TANJUNG HARAPAN','SOLOK','SUMATERA BARAT','27321'
'KOTO PANJANG','TANJUNG HARAPAN','SOLOK','SUMATERA BARAT','27323'
'LAING','TANJUNG HARAPAN','SOLOK','SUMATERA BARAT','27325'
'NAN BALIMO','TANJUNG HARAPAN','SOLOK','SUMATERA BARAT','27326'
'PASAR PANDAN AIR MATI','TANJUNG HARAPAN','SOLOK','SUMATERA BARAT','27322'
'TANJUNG PAKU','TANJUNG HARAPAN','SOLOK','SUMATERA BARAT','27324'
'MUARO KALABAN','SILUNGKANG','SAWAH LUNTO','SUMATERA BARAT','27435'
'SILUNGKANG DUO','SILUNGKANG','SAWAH LUNTO','SUMATERA BARAT','27432'
'SILUNGKANG OSO','SILUNGKANG','SAWAH LUNTO','SUMATERA BARAT','27433'
'SILUNGKANG TIGO','SILUNGKANG','SAWAH LUNTO','SUMATERA BARAT','27431'
'TARATAK BANCAH','SILUNGKANG','SAWAH LUNTO','SUMATERA BARAT','27434'
'KUBANG SIRAKUK UTARA','LEMBAH SEGAR','SAWAH LUNTO','SUMATERA BARAT','27414'
'KUBANG TANGAH','LEMBAH SEGAR','SAWAH LUNTO','SUMATERA BARAT','27413'
'KUBANG UTARA SIKABU','LEMBAH SEGAR','SAWAH LUNTO','SUMATERA BARAT','27412'
'LUNTO BARAT','LEMBAH SEGAR','SAWAH LUNTO','SUMATERA BARAT','27418'
'LUNTO TIMUR','LEMBAH SEGAR','SAWAH LUNTO','SUMATERA BARAT','27416'
'PASAR','LEMBAH SEGAR','SAWAH LUNTO','SUMATERA BARAT','27411'
'TANAH LAPANG','LEMBAH SEGAR','SAWAH LUNTO','SUMATERA BARAT','27411'
'DURIAN I','BARANGIN','SAWAH LUNTO','SUMATERA BARAT','27428'
'DURIAN II','BARANGIN','SAWAH LUNTO','SUMATERA BARAT','27427'
'KOLOK NAN TUO','BARANGIN','SAWAH LUNTO','SUMATERA BARAT','27426'
'LUBANG PANJANG','BARANGIN','SAWAH LUNTO','SUMATERA BARAT','27424'
'LUMINDAI','BARANGIN','SAWAH LUNTO','SUMATERA BARAT','27421'
'SARINGAN','BARANGIN','SAWAH LUNTO','SUMATERA BARAT','27423'
'TALAGO GUNUNG','BARANGIN','SAWAH LUNTO','SUMATERA BARAT','27423'
'BATU TANJUNG','TALAWI','SAWAH LUNTO','SUMATERA BARAT','27443'
'BUKIK GADANG','TALAWI','SAWAH LUNTO','SUMATERA BARAT','27444'
'DATAR MANSIANG','TALAWI','SAWAH LUNTO','SUMATERA BARAT','27441'
'KUMBAYAU','TALAWI','SAWAH LUNTO','SUMATERA BARAT','27443'
'SALAK','TALAWI','SAWAH LUNTO','SUMATERA BARAT','27447'
'SIJANTANG KOTO','TALAWI','SAWAH LUNTO','SUMATERA BARAT','27446'
'SIKALANG','TALAWI','SAWAH LUNTO','SUMATERA BARAT','27448'
'TUMPUK TANGAH','TALAWI','SAWAH LUNTO','SUMATERA BARAT','27442'
'AUR KUNING','AUR BIRUGO TIGO BALEH','BUKITTINGGI','SUMATERA BARAT','26131'
'BELAKANG BALOK','AUR BIRUGO TIGO BALEH','BUKITTINGGI','SUMATERA BARAT','26136'
'BIRUGO','AUR BIRUGO TIGO BALEH','BUKITTINGGI','SUMATERA BARAT','26138'
'KUBU TANJUNG','AUR BIRUGO TIGO BALEH','BUKITTINGGI','SUMATERA BARAT','26133'
'LADANG CAKIAH','AUR BIRUGO TIGO BALEH','BUKITTINGGI','SUMATERA BARAT','26135'
'PAKAN LABUH','AUR BIRUGO TIGO BALEH','BUKITTINGGI','SUMATERA BARAT','26134'
'SAPIRAN','AUR BIRUGO TIGO BALEH','BUKITTINGGI','SUMATERA BARAT','26137'
'BULAKAN BALAI KANDI','PAYAKUMBUH BARAT','PAYAKUMBUH','SUMATERA BARAT','26225'
'IBUAH','PAYAKUMBUH BARAT','PAYAKUMBUH','SUMATERA BARAT','26229'
'KOTO TANGAH','PAYAKUMBUH BARAT','PAYAKUMBUH','SUMATERA BARAT','26223'
'KUBU GADANG','PAYAKUMBUH BARAT','PAYAKUMBUH','SUMATERA BARAT','26225'
'LABUAH BASILANG','PAYAKUMBUH BARAT','PAYAKUMBUH','SUMATERA BARAT','26229'
'NUNANG DAYA BANGUN','PAYAKUMBUH BARAT','PAYAKUMBUH','SUMATERA BARAT','26221'
'NUNANG DAYA BANGUN','PAYAKUMBUH BARAT','PAYAKUMBUH','SUMATERA BARAT','26221'
'PADANG DATA','PAYAKUMBUH BARAT','PAYAKUMBUH','SUMATERA BARAT','26223'
'PADANG TINGGI PILIANG','PAYAKUMBUH BARAT','PAYAKUMBUH','SUMATERA BARAT','26224'
'PAKAN SINAYAN','PAYAKUMBUH BARAT','PAYAKUMBUH','SUMATERA BARAT','26225'
'PARAK BATUANG','PAYAKUMBUH BARAT','PAYAKUMBUH','SUMATERA BARAT','26222'
'PARIK RANTANG','PAYAKUMBUH BARAT','PAYAKUMBUH','SUMATERA BARAT','26222'
'PAYOLANSEK','PAYAKUMBUH BARAT','PAYAKUMBUH','SUMATERA BARAT','26225'
'SUBARANG BATUANG','PAYAKUMBUH BARAT','PAYAKUMBUH','SUMATERA BARAT','26223'
'TALANG','PAYAKUMBUH BARAT','PAYAKUMBUH','SUMATERA BARAT','26225'
'TANAH MATI','PAYAKUMBUH BARAT','PAYAKUMBUH','SUMATERA BARAT','26223'
'BALAI PANJANG','PAYAKUMBUH SELATAN','PAYAKUMBUH','SUMATERA BARAT','26216'
'BALAI PANJANG','PAYAKUMBUH SELATAN','PAYAKUMBUH','SUMATERA BARAT','26214'
'BALAI PANJANG','PAYAKUMBUH SELATAN','PAYAKUMBUH','SUMATERA BARAT','26214'
'BALAI PANJANG','PAYAKUMBUH SELATAN','PAYAKUMBUH','SUMATERA BARAT','26214'
'BALAI JARING','PAYAKUMBUH TIMUR','PAYAKUMBUH','SUMATERA BARAT','26214'
'KOTO BARU','PAYAKUMBUH TIMUR','PAYAKUMBUH','SUMATERA BARAT','26211'
'PAYOBASUNG','PAYAKUMBUH TIMUR','PAYAKUMBUH','SUMATERA BARAT','26217'
'NAPAR','PAYAKUMBUH UTARA','PAYAKUMBUH','SUMATERA BARAT','26218'
'ALAI GELOMBANG','PARIAMAN TENGAH','PARIAMAN','SUMATERA BARAT','25519'
'CIMPARUH','PARIAMAN TENGAH','PARIAMAN','SUMATERA BARAT','25517'
'JALAN BARU','PARIAMAN TENGAH','PARIAMAN','SUMATERA BARAT','25515'
'JALAN KERETA API','PARIAMAN TENGAH','PARIAMAN','SUMATERA BARAT','25515'
'JATI HILIR','PARIAMAN TENGAH','PARIAMAN','SUMATERA BARAT','25519'
'JATI MUDIK','PARIAMAN TENGAH','PARIAMAN','SUMATERA BARAT','25517'
'JAWI-JAWI I','PARIAMAN TENGAH','PARIAMAN','SUMATERA BARAT','25518'
'JAWI-JAWI II','PARIAMAN TENGAH','PARIAMAN','SUMATERA BARAT','25518'
'KAMPUNG BARU','PARIAMAN TENGAH','PARIAMAN','SUMATERA BARAT','25514'
'KAMPUNG JAWA I','PARIAMAN TENGAH','PARIAMAN','SUMATERA BARAT','25511'
'KAMPUNG JAWA II','PARIAMAN TENGAH','PARIAMAN','SUMATERA BARAT','25511'
'KAMPUNG PERAK','PARIAMAN TENGAH','PARIAMAN','SUMATERA BARAT','25513'
'KAMPUNG PONDOK','PARIAMAN TENGAH','PARIAMAN','SUMATERA BARAT','25512'
'KARAN AUR','PARIAMAN TENGAH','PARIAMAN','SUMATERA BARAT','25514'
'LOHONG','PARIAMAN TENGAH','PARIAMAN','SUMATERA BARAT','25513'
'PASIR','PARIAMAN TENGAH','PARIAMAN','SUMATERA BARAT','25513'
'PAUH BARAT','PARIAMAN TENGAH','PARIAMAN','SUMATERA BARAT','25512'
'PAUH TIMUR','PARIAMAN TENGAH','PARIAMAN','SUMATERA BARAT','25512'
'PONDOK II','PARIAMAN TENGAH','PARIAMAN','SUMATERA BARAT','25512'
'RAWANG','PARIAMAN TENGAH','PARIAMAN','SUMATERA BARAT','25511'
'TARATAK','PARIAMAN TENGAH','PARIAMAN','SUMATERA BARAT','25517'
'UJUNG BATUNG','PARIAMAN TENGAH','PARIAMAN','SUMATERA BARAT','25516'
'AIR SANTOK','PARIAMAN TIMUR','PARIAMAN','SUMATERA BARAT','25546'
'BATANG KABUNG','PARIAMAN TIMUR','PARIAMAN','SUMATERA BARAT','25549'
'BATO','PARIAMAN TIMUR','PARIAMAN','SUMATERA BARAT','25549'
'SUNGAI PASAK','PARIAMAN TIMUR','PARIAMAN','SUMATERA BARAT','25546'
'SUNGAI SIRAH','PARIAMAN TIMUR','PARIAMAN','SUMATERA BARAT','25546'
'AIR BULUH','KUANTAN MUDIK','KUANTAN SINGINGI','RIAU','29564'
'AUR DURI','KUANTAN MUDIK','KUANTAN SINGINGI','RIAU','29564'
'BANJAR GUNTUNG','KUANTAN MUDIK','KUANTAN SINGINGI','RIAU','29564'
'BANJAR PADANG','KUANTAN MUDIK','KUANTAN SINGINGI','RIAU','29564'
'BUKIT KAUMAN','KUANTAN MUDIK','KUANTAN SINGINGI','RIAU','29564'
'KASANG','KUANTAN MUDIK','KUANTAN SINGINGI','RIAU','29564'
'KINALI','KUANTAN MUDIK','KUANTAN SINGINGI','RIAU','29564'
'KOTO CENGAR','KUANTAN MUDIK','KUANTAN SINGINGI','RIAU','29564'
'KOTO LUBUK JAMBI','KUANTAN MUDIK','KUANTAN SINGINGI','RIAU','29564'
'LUAI','KUANTAN MUDIK','KUANTAN SINGINGI','RIAU','29564'
'LUBUK JAMBI','KUANTAN MUDIK','KUANTAN SINGINGI','RIAU','29564'
'LUBUK RAMO','KUANTAN MUDIK','KUANTAN SINGINGI','RIAU','29564'
'MUARO TOMBANG','KUANTAN MUDIK','KUANTAN SINGINGI','RIAU','29564'
'PANTAI','KUANTAN MUDIK','KUANTAN SINGINGI','RIAU','29564'
'PEBAUN HILIR','KUANTAN MUDIK','KUANTAN SINGINGI','RIAU','29564'
'PEBAUN HULU','KUANTAN MUDIK','KUANTAN SINGINGI','RIAU','29564'
'RANTAU SIALANG','KUANTAN MUDIK','KUANTAN SINGINGI','RIAU','29564'
'SAIK','KUANTAN MUDIK','KUANTAN SINGINGI','RIAU','29564'
'SANGAU','KUANTAN MUDIK','KUANTAN SINGINGI','RIAU','29564'
'SEBERANG CENGAR','KUANTAN MUDIK','KUANTAN SINGINGI','RIAU','29564'
